,Diabetes,HIV prevalence rate,Infant mortality,Poor or fair health,Premature age-adjusted mortality,Access to exercise opportunities,Adult obesity,Adult smoking,Excessive drinking,Sexually transmitted infections,Could not see doctor due to cost,Dentists,Diabetic screening,Health care costs,Mental health providers,Preventable hospital stays,Primary care physicians,Uninsured,Children in poverty,Children in single-parent households,High school graduation,Income inequality,Median household income,Social associations,Some college,Unemployment,Violent crime,Air pollution - particulate matter,Drinking water violations,Severe housing problems,2011 population estimate,Population that is not proficient in English
53013,0.116,103.0,7.0,0.169,322.6,0.663,0.321,0.148,0.148,175.2,0.118,74.0,0.87,9019.0,174.0,25.25,25.0,0.168,0.26,0.333,0.848,5.056,42332.0,17.522,0.622,0.101,146.22,10.65,0.0,0.128,4032,0.01
45069,0.142,419.0,9.7,0.283,560.9,0.43,0.398,0.231,0.116,749.7,0.246,21.0,0.69,9665.0,171.0,79.18,28.0,0.204,0.408,0.636,0.65,4.603,31185.0,7.106,0.272,0.129,1164.6,12.19,0.064,0.164,28003,0.007
20207,0.119,103.0,7.0,0.194,532.9,0.644,0.283,0.242,0.1625,293.0,0.148,31.0,0.88,9988.0,92.0,95.11,50.5,0.191,0.302,0.319,0.848,4.167,40971.0,21.354,0.541,0.065,301.57,8.23,0.0,0.112,3221,0.0
51595,0.132,497.2,7.0,0.165,652.7,0.969,0.334,0.2075,0.1625,818.8,0.148,72.0,0.84,9540.0,92.0,111.31,50.5,0.162,0.416,0.608,0.775,7.596,32676.0,26.132,0.557,0.102,582.27,12.1,0.012,0.285,5588,0.008
38023,0.099,103.0,7.0,0.087,241.5,0.544,0.286,0.263,0.271,314.2,0.148,0.0,0.97,6138.0,92.0,48.3,45.0,0.13,0.15,0.065,0.848,4.707,63616.0,44.883,0.665,0.02,0.0,10.08,0.0,0.054,2314,0.0
40123,0.105,28.8,8.9,0.231,528.2,0.676,0.354,0.267,0.129,513.7,0.207,61.0,0.74,10280.0,516.0,46.96,74.0,0.22,0.265,0.369,0.791,4.782,40479.0,14.49,0.601,0.049,495.52,10.22,0.0,0.143,37992,0.004
39169,0.104,47.1,6.5,0.117,330.0,0.691,0.288,0.172,0.097,236.8,0.145,41.0,0.86,9498.0,229.0,72.55,52.0,0.146,0.201,0.227,0.943,3.886,49580.0,14.889,0.489,0.063,90.56,13.84,0.116,0.124,115071,0.011
2220,0.075,80.1,7.0,0.11,341.6,1.0,0.288,0.213,0.246,210.0,0.075,133.0,0.8,8989.0,1053.0,81.11,199.0,0.253,0.126,0.293,0.826,3.987,66038.0,17.687,0.736,0.052,226.11,11.93,0.0,0.202,9020,0.019
6083,0.065,141.6,5.0,0.21,251.1,0.953,0.194,0.105,0.18,400.0,0.176,75.0,0.86,7426.0,412.0,30.43,77.0,0.211,0.209,0.312,0.878,4.928,60803.0,7.606,0.573,0.068,400.51,7.23,0.04,0.29,435697,0.118
38071,0.091,103.0,7.0,0.106,344.0,0.284,0.288,0.237,0.292,372.7,0.066,78.0,0.92,7926.0,407.0,60.9,113.0,0.144,0.174,0.301,0.904,4.054,49299.0,18.204,0.678,0.039,226.95,9.88,0.0,0.098,11554,0.003
46077,0.089,103.0,7.0,0.165,305.3,0.604,0.321,0.108,0.132,306.5,0.044,39.0,0.88,8163.0,92.0,61.91,38.0,0.138,0.14,0.216,0.848,3.651,50045.0,28.736,0.693,0.031,205.76,11.68,0.107,0.048,5065,0.003
27009,0.095,28.5,6.0,0.122,285.7,0.54,0.269,0.146,0.185,252.2,0.135,31.0,0.91,8783.0,8.0,50.57,23.0,0.084,0.143,0.298,0.922,4.435,51564.0,14.409,0.673,0.058,137.79,12.43,0.0,0.149,39214,0.004
1075,0.15,89.6,7.0,0.285,501.9,0.236,0.328,0.261,0.1625,350.7,0.129,21.0,0.8,10413.0,14.0,104.29,7.0,0.169,0.308,0.384,0.675,4.349,36475.0,11.221,0.469,0.069,49.74,12.4,0.0,0.116,14236,0.004
40125,0.133,67.1,7.6,0.194,511.8,0.731,0.372,0.308,0.155,435.3,0.183,49.0,0.79,9944.0,215.0,64.59,40.0,0.204,0.273,0.354,0.781,4.593,44405.0,11.73,0.535,0.052,473.52,10.26,0.121,0.129,71158,0.005
36043,0.103,83.4,7.6,0.142,301.2,0.657,0.31,0.193,0.188,288.3,0.151,31.0,0.88,8721.0,47.0,79.05,43.0,0.113,0.254,0.336,0.779,4.355,42460.0,12.092,0.607,0.081,239.18,11.5,0.222,0.137,64181,0.009
26025,0.125,101.4,10.1,0.185,431.0,0.667,0.35,0.258,0.15,588.5,0.132,61.0,0.87,9575.0,234.0,59.78,61.0,0.137,0.286,0.426,0.73,4.246,44343.0,12.065,0.589,0.076,639.4,12.66,0.0,0.154,135012,0.01
5063,0.118,100.7,8.0,0.219,440.1,0.515,0.309,0.232,0.099,329.5,0.148,35.0,0.83,11191.0,168.0,77.31,100.0,0.208,0.272,0.403,0.908,4.621,37761.0,12.154,0.496,0.092,503.74,12.16,0.02,0.143,36997,0.014
29119,0.113,79.9,8.4,0.256,487.3,0.433,0.298,0.337,0.1625,192.3,0.275,27.0,0.79,9229.0,9.0,74.19,13.0,0.249,0.322,0.339,0.9,4.656,35915.0,9.18,0.463,0.063,493.72,10.07,0.088,0.163,22558,0.036
35037,0.094,103.0,7.0,0.253,527.3,0.734,0.297,0.275,0.082,399.1,0.154,23.0,0.8,8861.0,1432.0,78.7,57.0,0.188,0.397,0.361,0.696,4.734,30496.0,19.386,0.388,0.063,418.76,9.86,0.323,0.123,8662,0.006
35043,0.079,68.7,4.7,0.132,297.9,0.76,0.242,0.155,0.129,367.3,0.144,36.0,0.68,7572.0,269.0,35.28,60.0,0.161,0.209,0.382,0.759,4.248,56190.0,4.72,0.654,0.08,269.62,9.6,0.088,0.176,136575,0.021
21191,0.138,56.2,7.0,0.318,469.3,0.429,0.324,0.279,0.1625,253.4,0.24,14.0,0.87,10653.0,48.0,86.17,14.0,0.167,0.239,0.296,0.911,4.11,45570.0,10.956,0.433,0.083,63.15,13.17,0.124,0.131,14570,0.0
16079,0.107,103.0,7.0,0.224,520.1,0.811,0.301,0.255,0.207,236.2,0.209,47.0,0.75,9552.0,150.0,68.97,55.0,0.178,0.283,0.33,0.767,4.681,37431.0,12.596,0.486,0.113,291.45,11.18,0.648,0.13,12690,0.003
31155,0.082,103.0,7.0,0.105,319.7,0.528,0.293,0.19,0.249,163.3,0.097,29.0,0.9,9249.0,29.0,55.3,29.0,0.102,0.109,0.159,0.914,4.16,61174.0,15.848,0.715,0.041,60.55,10.12,0.405,0.081,20929,0.004
40101,0.135,89.6,7.0,0.259,585.3,0.681,0.339,0.333,0.089,577.9,0.198,48.0,0.72,10099.0,387.0,67.76,52.0,0.23,0.299,0.399,0.798,4.904,38574.0,12.89,0.538,0.065,673.73,10.75,0.755,0.143,70303,0.013
30067,0.066,103.0,7.0,0.188,307.4,0.642,0.232,0.136,0.161,102.8,0.127,64.0,0.86,7375.0,223.0,43.67,109.0,0.236,0.189,0.26,0.8,4.151,42439.0,18.629,0.62,0.059,244.74,10.83,0.011,0.138,15682,0.002
47035,0.152,38.4,7.0,0.214,453.3,0.659,0.265,0.174,0.051,249.0,0.139,30.0,0.89,8825.0,21.0,48.32,67.0,0.183,0.291,0.286,0.93,4.276,36163.0,9.644,0.45,0.096,422.48,13.75,0.0,0.125,57466,0.005
48351,0.129,48.6,7.0,0.165,513.7,0.151,0.308,0.2075,0.1625,323.9,0.148,38.0,0.74,11973.0,7.0,66.37,7.0,0.234,0.316,0.494,0.93,4.997,38544.0,9.859,0.41,0.114,43.32,9.47,0.0,0.118,14140,0.01
18173,0.108,35.5,4.9,0.141,297.8,0.806,0.297,0.137,0.134,188.5,0.139,41.0,0.86,10665.0,34.0,71.07,126.0,0.119,0.111,0.204,0.87,3.606,61820.0,11.577,0.699,0.062,253.68,14.05,0.0,0.091,61049,0.003
51003,0.103,114.2,6.3,0.063,207.3,0.772,0.256,0.124,0.137,237.7,0.082,88.0,0.91,7891.0,98.0,42.87,137.0,0.127,0.116,0.212,0.848,4.738,70032.0,9.878,0.76,0.046,117.03,12.77,0.002,0.149,103000,0.019
47189,0.116,99.7,6.7,0.169,344.8,0.786,0.317,0.29,0.138,271.5,0.154,38.0,0.85,11042.0,53.0,79.19,35.0,0.129,0.15,0.265,0.96,4.016,59655.0,10.928,0.633,0.065,388.64,14.25,0.0,0.115,121945,0.008
20063,0.132,103.0,7.0,0.165,259.1,0.453,0.323,0.2075,0.1625,293.0,0.148,36.0,0.77,12322.0,36.0,125.9,183.0,0.159,0.15,0.121,0.848,3.569,48042.0,43.972,0.621,0.03,224.47,12.86,0.024,0.038,2769,0.001
1131,0.198,163.2,7.0,0.305,638.4,0.291,0.428,0.189,0.072,1495.9,0.155,18.0,0.81,8682.0,9.0,64.57,35.0,0.18,0.501,0.674,0.775,6.767,23184.0,8.748,0.34,0.156,215.54,12.94,0.103,0.173,11307,0.0
30079,0.099,103.0,7.0,0.165,391.4,0.032,0.266,0.2075,0.142,293.0,0.148,0.0,0.73,8838.0,92.0,65.31,86.0,0.23,0.212,0.193,0.848,4.704,41843.0,25.929,0.486,0.044,113.15,10.38,0.5,0.102,1179,0.0
30015,0.095,103.0,7.0,0.106,288.9,0.363,0.281,0.153,0.205,293.0,0.104,17.0,0.87,8066.0,51.0,57.48,17.0,0.308,0.288,0.354,0.848,3.966,41177.0,18.631,0.64,0.04,125.64,11.52,0.044,0.104,5849,0.001
56015,0.092,51.3,7.0,0.126,328.9,0.74,0.287,0.164,0.167,190.7,0.141,29.0,0.78,7596.0,331.0,61.53,81.0,0.177,0.2,0.26,0.825,3.734,43311.0,17.6,0.667,0.048,213.2,13.15,0.028,0.132,13612,0.007
49057,0.083,72.1,5.5,0.144,332.7,0.932,0.281,0.123,0.111,346.9,0.112,78.0,0.83,8648.0,163.0,28.44,45.0,0.169,0.172,0.238,0.75,3.62,54055.0,3.465,0.593,0.052,211.49,11.87,0.183,0.133,238519,0.032
51025,0.127,413.0,7.0,0.176,423.3,0.256,0.336,0.296,0.158,511.5,0.173,24.0,0.88,9337.0,24.0,84.86,29.0,0.179,0.289,0.454,0.725,4.742,37800.0,11.17,0.395,0.1,91.48,12.22,0.005,0.158,16973,0.005
55111,0.102,49.8,5.8,0.096,317.7,0.797,0.303,0.171,0.226,212.5,0.068,57.0,0.89,7030.0,108.0,52.53,104.0,0.119,0.169,0.273,0.911,3.832,50923.0,14.218,0.596,0.064,169.45,11.92,0.001,0.141,63162,0.01
12013,0.142,510.2,7.0,0.358,436.6,0.043,0.37,0.302,0.081,414.3,0.148,48.0,0.82,12684.0,20.0,101.79,41.0,0.215,0.327,0.412,0.775,4.054,33977.0,9.509,0.342,0.068,117.12,12.29,0.0,0.179,14682,0.016
13245,0.116,640.4,11.5,0.17,525.9,0.643,0.332,0.234,0.174,818.9,0.187,179.0,0.77,8254.0,234.0,47.44,78.0,0.198,0.436,0.573,0.59,5.269,36069.0,10.711,0.597,0.094,507.16,12.78,0.0,0.181,202003,0.009
17007,0.087,58.1,5.5,0.165,282.3,0.761,0.306,0.155,0.093,328.1,0.148,35.0,0.86,9524.0,15.0,64.32,54.0,0.14,0.146,0.255,0.796,3.903,59537.0,6.859,0.517,0.115,146.55,12.45,0.0,0.163,53957,0.037
31033,0.084,84.7,7.0,0.124,340.8,0.732,0.265,0.179,0.189,89.4,0.112,40.0,0.68,8146.0,99.0,68.87,50.0,0.101,0.137,0.285,0.933,3.876,53430.0,14.899,0.747,0.032,83.48,13.64,0.528,0.093,10091,0.005
22015,0.114,136.1,7.7,0.168,386.7,0.846,0.359,0.256,0.161,392.8,0.124,48.0,0.83,11889.0,53.0,80.01,41.0,0.181,0.198,0.361,0.74,4.655,51899.0,7.774,0.624,0.057,360.95,10.84,0.205,0.133,123823,0.012
37187,0.146,415.5,7.0,0.175,372.4,0.627,0.338,0.2075,0.1625,659.5,0.148,24.0,0.91,8894.0,141.0,89.48,39.0,0.173,0.403,0.533,0.825,5.782,31596.0,21.985,0.497,0.098,328.19,11.48,0.027,0.223,12722,0.01
51031,0.1,101.6,7.9,0.16,337.6,0.654,0.306,0.216,0.114,331.7,0.198,14.0,0.85,8298.0,92.0,57.97,22.0,0.157,0.187,0.344,0.81,4.398,47982.0,14.865,0.567,0.059,122.91,12.71,0.051,0.12,55235,0.003
20091,0.07,126.7,5.7,0.082,221.2,0.983,0.23,0.126,0.182,262.2,0.077,78.0,0.88,9523.0,210.0,51.03,110.0,0.096,0.07,0.219,0.928,3.93,74135.0,8.608,0.84,0.047,164.68,8.54,0.002,0.112,566933,0.019
5119,0.108,484.8,8.6,0.152,433.9,0.878,0.329,0.192,0.159,801.1,0.12,69.0,0.82,9406.0,344.0,58.78,108.0,0.168,0.257,0.445,0.747,5.043,46526.0,15.709,0.66,0.069,1068.37,11.94,0.072,0.164,391284,0.017
37051,0.111,450.7,10.4,0.175,448.7,0.826,0.311,0.221,0.113,1106.9,0.148,91.0,0.83,9008.0,262.0,59.82,73.0,0.171,0.274,0.431,0.81,4.213,44038.0,9.073,0.699,0.09,537.99,12.09,0.015,0.164,325871,0.015
8047,0.067,103.0,7.0,0.165,248.9,0.847,0.193,0.169,0.186,109.3,0.148,38.0,0.91,6572.0,71.0,65.31,36.0,0.107,0.103,0.356,0.848,4.056,64962.0,5.463,0.786,0.057,296.61,13.18,0.0,0.195,5601,0.0
27005,0.082,17.3,7.2,0.102,333.7,0.616,0.294,0.166,0.231,190.9,0.148,57.0,0.87,8193.0,132.0,50.72,91.0,0.123,0.193,0.301,0.85,4.385,49183.0,18.485,0.666,0.055,86.52,12.1,0.004,0.131,33231,0.004
48093,0.107,60.0,7.0,0.221,385.6,0.22,0.292,0.22,0.1625,167.1,0.148,22.0,0.77,9970.0,51.0,79.85,51.0,0.309,0.323,0.222,0.894,4.782,35434.0,15.256,0.506,0.053,226.73,9.47,0.0,0.168,13623,0.047
5083,0.131,57.4,7.0,0.202,450.8,0.602,0.347,0.251,0.111,286.6,0.156,36.0,0.83,9331.0,36.0,65.74,27.0,0.198,0.304,0.338,0.916,4.245,34090.0,13.647,0.424,0.079,240.89,11.3,0.222,0.098,22082,0.008
51193,0.134,112.2,7.0,0.156,391.6,0.118,0.291,0.169,0.1625,547.8,0.148,11.0,0.87,9434.0,6.0,65.1,11.0,0.197,0.285,0.336,0.869,4.446,45927.0,20.543,0.421,0.07,103.96,12.39,0.0,0.141,17612,0.015
54019,0.132,56.9,7.9,0.225,539.2,0.496,0.34,0.264,0.145,392.4,0.195,44.0,0.88,11651.0,29.0,130.08,65.0,0.196,0.303,0.356,0.69,4.697,33720.0,12.209,0.461,0.079,241.29,13.11,0.045,0.107,45599,0.003
48295,0.104,103.0,7.0,0.165,360.9,0.474,0.308,0.2075,0.1625,293.0,0.148,0.0,0.82,9615.0,92.0,92.56,50.5,0.286,0.153,0.236,0.848,3.919,56484.0,31.609,0.504,0.039,0.0,10.43,0.088,0.098,3485,0.081
17149,0.109,103.0,7.0,0.067,333.4,0.595,0.312,0.2075,0.1625,374.0,0.148,43.0,0.91,8782.0,68.0,79.27,43.0,0.142,0.273,0.354,0.745,4.174,39430.0,14.717,0.536,0.075,35.42,11.16,0.149,0.092,16150,0.003
8123,0.063,74.2,6.5,0.154,283.8,0.804,0.253,0.178,0.172,342.4,0.162,39.0,0.88,8886.0,162.0,42.1,48.0,0.191,0.166,0.259,0.811,4.384,58404.0,7.243,0.623,0.071,289.83,13.66,0.006,0.188,269785,0.04
16063,0.081,103.0,7.0,0.146,413.6,0.2,0.292,0.208,0.225,189.5,0.24,19.0,0.88,6920.0,92.0,51.91,19.0,0.26,0.238,0.216,0.859,3.411,42625.0,3.79,0.371,0.079,133.48,9.69,0.0,0.129,5315,0.079
25009,0.095,235.0,4.4,0.13,261.8,0.967,0.242,0.141,0.194,358.5,0.076,82.0,0.89,9564.0,423.0,65.3,77.0,0.048,0.169,0.334,0.838,5.369,67235.0,8.801,0.684,0.075,370.19,10.36,0.064,0.199,762550,0.055
46049,0.1,103.0,7.0,0.165,211.7,0.397,0.286,0.2075,0.1625,293.0,0.148,0.0,0.91,14191.0,92.0,172.9,42.0,0.133,0.209,0.151,0.848,3.981,50092.0,16.828,0.664,0.033,13.98,9.8,0.016,0.194,2386,0.003
26055,0.094,74.0,6.5,0.091,274.8,0.919,0.306,0.171,0.163,281.7,0.11,89.0,0.88,8614.0,366.0,50.05,150.0,0.136,0.154,0.285,0.839,4.044,50755.0,12.232,0.681,0.076,155.15,11.26,0.003,0.158,89987,0.005
20093,0.111,103.0,7.0,0.165,424.8,0.836,0.313,0.177,0.1625,302.4,0.148,25.0,0.8,9751.0,25.0,96.69,101.0,0.201,0.192,0.257,0.848,3.044,54399.0,17.641,0.524,0.036,299.48,12.76,0.377,0.09,3923,0.069
24009,0.096,123.6,5.0,0.121,303.5,0.875,0.295,0.198,0.182,300.1,0.083,42.0,0.87,9218.0,169.0,63.95,49.0,0.079,0.086,0.221,0.92,3.465,91993.0,7.029,0.645,0.057,169.87,12.48,0.136,0.152,90484,0.003
22115,0.118,148.8,7.2,0.221,421.3,0.746,0.395,0.267,0.181,660.9,0.164,63.0,0.78,13206.0,89.0,180.66,39.0,0.183,0.223,0.274,0.8,3.793,42772.0,7.425,0.585,0.072,324.95,9.62,0.04,0.103,52606,0.008
46023,0.11,103.0,7.0,0.078,324.2,0.66,0.322,0.174,0.222,716.1,0.083,43.0,0.84,9338.0,92.0,105.17,109.0,0.187,0.349,0.448,0.848,4.56,37996.0,27.127,0.529,0.043,175.36,11.56,0.024,0.125,9241,0.001
41041,0.123,86.0,7.0,0.14,379.1,0.909,0.284,0.239,0.191,279.5,0.191,54.0,0.86,6321.0,250.0,39.82,56.0,0.213,0.33,0.371,0.63,4.331,39801.0,11.917,0.539,0.082,365.23,8.65,0.024,0.183,46350,0.015
38097,0.092,103.0,7.0,0.128,237.2,0.638,0.358,0.132,0.159,161.1,0.148,24.0,0.92,8497.0,92.0,54.62,25.0,0.111,0.092,0.204,0.848,4.322,57006.0,32.21,0.764,0.031,47.61,11.11,0.0,0.065,8245,0.001
13285,0.129,162.9,9.2,0.149,454.4,0.805,0.299,0.149,0.102,765.3,0.169,54.0,0.82,8939.0,74.0,55.02,50.0,0.183,0.335,0.475,0.75,5.454,42044.0,12.707,0.515,0.088,309.65,13.0,0.0,0.201,69053,0.013
37149,0.11,107.5,7.0,0.108,312.5,0.861,0.251,0.189,0.14,157.9,0.153,39.0,0.85,8148.0,216.0,49.54,54.0,0.206,0.264,0.346,0.9,4.214,43665.0,24.172,0.544,0.058,82.88,12.97,0.0,0.138,20411,0.012
22111,0.149,113.1,11.8,0.241,454.0,0.398,0.346,0.259,0.102,477.3,0.19,9.0,0.78,12611.0,4.0,106.65,18.0,0.203,0.34,0.43,0.625,5.692,35825.0,16.058,0.469,0.067,284.26,11.58,0.378,0.123,22344,0.003
29129,0.124,103.0,7.0,0.165,418.8,0.557,0.346,0.279,0.1625,187.7,0.148,0.0,0.83,9246.0,27.0,74.25,27.0,0.201,0.25,0.329,0.848,4.329,38726.0,21.453,0.506,0.049,184.29,9.2,0.0,0.08,3695,0.002
27039,0.073,31.1,7.0,0.165,237.5,0.68,0.334,0.203,0.172,291.6,0.148,20.0,0.91,7493.0,20.0,43.48,30.0,0.079,0.096,0.239,0.927,3.631,73799.0,17.3,0.69,0.05,192.74,12.32,0.0,0.08,20349,0.005
1079,0.155,84.6,8.3,0.235,510.0,0.489,0.386,0.278,0.1625,452.2,0.138,6.0,0.86,11092.0,57.0,88.99,24.0,0.182,0.262,0.366,0.86,4.684,40713.0,13.594,0.497,0.073,194.21,12.54,0.0,0.101,33587,0.003
37133,0.084,153.9,7.1,0.166,374.7,0.591,0.275,0.248,0.175,814.7,0.127,89.0,0.84,9651.0,184.0,69.38,33.0,0.169,0.232,0.292,0.87,3.535,45213.0,6.984,0.671,0.076,243.65,11.79,0.286,0.156,185220,0.008
18029,0.112,36.0,7.6,0.109,361.0,0.657,0.317,0.249,0.144,176.6,0.196,16.0,0.89,9183.0,130.0,68.97,46.0,0.13,0.159,0.241,0.872,3.701,55077.0,13.646,0.558,0.078,62.64,13.38,0.0,0.109,49904,0.001
29001,0.097,54.2,7.0,0.175,372.6,0.741,0.299,0.263,0.196,273.6,0.152,51.0,0.88,9657.0,156.0,51.71,125.0,0.178,0.249,0.285,0.921,5.9,35282.0,16.809,0.601,0.054,397.88,9.74,0.359,0.211,25572,0.004
29035,0.123,103.0,7.0,0.165,590.7,0.74,0.337,0.2075,0.1625,191.6,0.148,16.0,0.9,8978.0,111.0,69.27,32.0,0.215,0.369,0.263,0.905,5.465,30017.0,6.388,0.532,0.075,121.5,11.5,0.051,0.123,6291,0.0
30041,0.094,103.0,7.0,0.171,372.2,0.639,0.332,0.302,0.248,1600.9,0.134,85.0,0.83,6972.0,223.0,60.59,73.0,0.236,0.229,0.307,0.755,4.795,43244.0,17.109,0.674,0.065,481.1,11.54,0.0,0.146,16568,0.005
27011,0.091,103.0,7.0,0.165,310.0,0.608,0.281,0.2075,0.1625,77.5,0.148,20.0,0.91,9319.0,92.0,40.4,97.0,0.103,0.192,0.231,0.848,4.147,44637.0,34.857,0.71,0.051,56.78,12.4,0.0,0.109,5122,0.002
13239,0.171,447.4,7.0,0.165,443.2,0.383,0.312,0.2075,0.1625,831.9,0.148,42.0,0.85,5725.0,42.0,65.31,50.5,0.228,0.466,0.34,0.848,3.9,29111.0,12.479,0.38,0.103,699.58,12.55,0.0,0.138,2367,0.0
20149,0.125,47.9,7.0,0.088,257.3,0.685,0.32,0.187,0.138,156.9,0.101,22.0,0.91,10112.0,31.0,58.52,54.0,0.121,0.122,0.165,0.928,3.801,59856.0,10.761,0.712,0.051,213.79,9.09,0.0,0.111,22691,0.008
21071,0.17,39.0,8.8,0.38,685.5,0.44,0.393,0.288,0.087,179.7,0.3,70.0,0.78,12955.0,627.0,180.86,59.0,0.185,0.379,0.373,0.901,5.664,31229.0,6.932,0.49,0.125,52.59,12.94,0.011,0.153,38728,0.002
37073,0.128,110.8,7.0,0.204,417.7,0.306,0.343,0.2075,0.1625,412.8,0.213,9.0,0.9,8276.0,9.0,62.33,8.0,0.171,0.265,0.386,0.875,4.415,48194.0,9.268,0.5,0.073,205.76,11.74,0.0,0.136,11650,0.004
24015,0.102,141.5,4.4,0.152,394.5,0.882,0.33,0.236,0.179,209.4,0.121,36.0,0.82,10080.0,164.0,66.16,35.0,0.113,0.147,0.262,0.84,4.328,64880.0,7.08,0.57,0.077,588.19,12.14,0.159,0.154,101913,0.006
51037,0.123,94.6,7.0,0.275,442.4,0.243,0.311,0.261,0.1625,556.3,0.155,33.0,0.87,8257.0,8.0,56.61,32.0,0.203,0.276,0.444,0.825,4.324,35715.0,16.124,0.472,0.079,147.5,12.53,0.827,0.131,12305,0.002
29115,0.112,94.3,7.0,0.192,404.3,0.693,0.328,0.263,0.191,224.3,0.137,16.0,0.77,9990.0,24.0,97.66,56.0,0.174,0.273,0.302,0.894,4.552,37773.0,20.827,0.503,0.073,199.17,9.52,0.0,0.114,12368,0.009
27079,0.079,36.1,7.0,0.128,242.8,0.685,0.298,0.131,0.182,148.1,0.103,29.0,0.91,7495.0,18.0,38.13,11.0,0.091,0.112,0.264,0.925,3.61,60190.0,16.62,0.629,0.065,64.25,12.55,0.016,0.113,27810,0.01
30025,0.076,103.0,7.0,0.079,314.9,0.496,0.263,0.148,0.239,429.9,0.148,32.0,0.78,7810.0,92.0,127.83,66.0,0.183,0.108,0.213,0.848,3.606,59083.0,29.762,0.589,0.02,91.09,10.12,0.0,0.045,3079,0.0
39139,0.114,99.9,8.4,0.139,388.3,0.543,0.335,0.254,0.125,417.4,0.125,68.0,0.82,9622.0,177.0,74.37,46.0,0.135,0.256,0.347,0.803,4.188,40210.0,16.222,0.526,0.084,188.39,13.72,0.001,0.113,121773,0.002
29103,0.111,103.0,7.0,0.165,372.3,0.137,0.316,0.2075,0.1625,293.0,0.148,25.0,0.88,10134.0,25.0,46.48,98.0,0.246,0.355,0.27,0.848,5.417,34894.0,24.498,0.466,0.045,96.69,10.01,0.0,0.111,4067,0.0
55131,0.09,31.8,4.2,0.095,263.4,0.848,0.288,0.142,0.283,143.2,0.063,48.0,0.92,8394.0,80.0,46.67,63.0,0.071,0.082,0.232,0.933,3.527,67276.0,10.478,0.708,0.061,98.42,12.02,0.0,0.119,132739,0.007
13321,0.132,157.8,7.0,0.349,416.9,0.514,0.342,0.258,0.1625,303.6,0.288,19.0,0.82,9979.0,5.0,77.32,23.0,0.234,0.344,0.451,0.72,4.505,36616.0,8.739,0.378,0.082,146.28,12.25,0.0,0.132,21291,0.005
24005,0.101,449.5,7.5,0.142,334.2,0.962,0.282,0.17,0.158,370.1,0.111,73.0,0.84,9733.0,232.0,58.77,105.0,0.108,0.129,0.352,0.84,4.092,64624.0,8.306,0.699,0.069,526.43,12.59,0.5,0.161,823015,0.022
18111,0.118,103.0,7.0,0.238,420.3,0.567,0.357,0.417,0.254,185.1,0.203,7.0,0.85,9507.0,7.0,73.36,7.0,0.177,0.172,0.291,0.834,3.692,53715.0,11.393,0.506,0.084,130.95,13.35,0.0,0.111,14087,0.005
45091,0.095,224.0,7.0,0.126,361.2,0.796,0.282,0.203,0.135,507.6,0.162,45.0,0.88,9407.0,158.0,54.71,46.0,0.172,0.172,0.288,0.82,4.763,54927.0,12.36,0.675,0.089,514.91,12.66,0.244,0.14,239363,0.012
13153,0.112,150.3,9.1,0.118,346.5,0.815,0.324,0.204,0.138,492.7,0.113,48.0,0.82,10402.0,70.0,82.59,53.0,0.164,0.219,0.366,0.76,4.187,52297.0,7.596,0.656,0.071,335.05,12.76,0.372,0.136,147658,0.016
47097,0.14,365.7,16.5,0.252,499.3,0.293,0.39,0.321,0.138,981.3,0.254,18.0,0.85,11718.0,18.0,108.27,14.0,0.166,0.361,0.527,0.93,4.816,32169.0,7.937,0.342,0.137,651.1,13.46,0.169,0.181,27795,0.004
27017,0.087,23.1,7.0,0.098,317.1,0.751,0.291,0.155,0.211,282.9,0.07,59.0,0.94,6781.0,82.0,38.93,65.0,0.098,0.141,0.293,0.809,4.343,52670.0,13.862,0.684,0.061,119.93,11.43,0.004,0.132,35460,0.003
41007,0.103,73.2,7.0,0.126,347.6,0.943,0.284,0.183,0.153,235.9,0.135,75.0,0.83,8479.0,175.0,56.07,78.0,0.186,0.244,0.372,0.645,4.027,43048.0,15.281,0.626,0.068,102.5,9.87,0.159,0.215,37244,0.017
48503,0.113,103.0,7.0,0.251,484.4,0.817,0.272,0.334,0.1625,212.7,0.148,55.0,0.86,12149.0,55.0,80.52,60.0,0.267,0.251,0.282,0.927,4.868,44372.0,14.177,0.487,0.046,163.55,9.74,0.0,0.13,18341,0.027
6061,0.074,52.5,4.7,0.087,247.0,0.909,0.225,0.081,0.164,211.5,0.107,98.0,0.84,7901.0,220.0,32.79,116.0,0.128,0.095,0.22,0.915,4.35,73643.0,7.576,0.765,0.076,203.41,9.3,0.008,0.199,367309,0.025
22029,0.147,245.3,11.1,0.187,527.3,0.344,0.367,0.225,0.098,505.8,0.157,34.0,0.78,12109.0,10.0,106.4,34.0,0.221,0.418,0.491,0.69,5.354,30432.0,15.222,0.366,0.1,596.82,10.4,0.655,0.125,20442,0.004
55103,0.102,32.8,7.0,0.149,289.0,0.608,0.315,0.163,0.269,140.3,0.136,34.0,0.91,7660.0,79.0,47.95,73.0,0.117,0.242,0.234,0.961,4.031,43635.0,10.663,0.537,0.058,27.68,11.9,0.0,0.148,17717,0.005
