,Diabetes,HIV prevalence rate,Infant mortality,Poor or fair health,Premature age-adjusted mortality,Access to exercise opportunities,Adult obesity,Adult smoking,Excessive drinking,Sexually transmitted infections,Could not see doctor due to cost,Dentists,Diabetic screening,Health care costs,Mental health providers,Preventable hospital stays,Primary care physicians,Uninsured,Children in poverty,Children in single-parent households,High school graduation,Income inequality,Median household income,Social associations,Some college,Unemployment,Violent crime,Air pollution - particulate matter,Drinking water violations,Severe housing problems,2011 population estimate,Population that is not proficient in English
18085,0.097,55.1,6.0,0.178,349.2,0.697,0.313,0.219,0.118,225.5,0.105,30.0,0.87,8993.0,132.0,77.78,44.0,0.18,0.178,0.234,0.867,3.801,51603.0,17.395,0.528,0.062,60.6,13.21,0.077,0.122,77963,0.013
6025,0.08,146.1,4.4,0.29,289.3,0.705,0.221,0.124,0.158,327.2,0.192,33.0,0.85,8541.0,99.0,61.46,22.0,0.226,0.309,0.35,0.848,5.624,40106.0,4.747,0.512,0.245,303.98,9.43,0.092,0.286,176584,0.202
33005,0.088,65.5,5.2,0.132,307.3,0.755,0.254,0.172,0.164,275.9,0.106,56.0,0.9,7490.0,279.0,35.18,72.0,0.136,0.137,0.285,0.877,4.139,52246.0,10.28,0.624,0.051,186.02,10.54,0.291,0.163,76610,0.002
21000,0.118,144.7,6.9,0.211,446.1,0.72,0.321,0.256,0.118,394.3,0.169,59.0,0.85,10578.0,161.0,94.4,64.0,0.162,0.255,0.343,0.861,5.114,43307.0,10.78,0.581,0.083,234.88,13.47,0.093,0.141,4395295,0.01
28155,0.146,157.2,7.0,0.249,510.7,0.133,0.361,0.229,0.099,348.6,0.275,40.0,0.87,10523.0,20.0,130.64,60.0,0.207,0.312,0.395,0.925,5.952,34930.0,17.93,0.563,0.121,205.76,12.36,0.061,0.139,9987,0.003
17005,0.104,100.2,7.0,0.215,374.7,0.583,0.279,0.393,0.1625,317.4,0.148,23.0,0.71,8624.0,114.0,68.01,62.0,0.113,0.205,0.316,0.87,5.043,48464.0,15.303,0.588,0.079,39.77,12.64,0.0,0.09,17470,0.002
55141,0.095,33.7,5.0,0.112,279.8,0.748,0.292,0.183,0.224,267.4,0.085,81.0,0.91,8723.0,137.0,65.89,187.0,0.091,0.163,0.282,0.939,3.892,48723.0,14.915,0.616,0.07,33.36,11.55,0.07,0.111,73959,0.005
48309,0.1,173.4,8.2,0.208,396.9,0.732,0.286,0.21,0.134,776.7,0.223,47.0,0.83,9227.0,137.0,41.05,67.0,0.237,0.277,0.385,0.905,5.14,41066.0,11.856,0.576,0.061,478.3,9.17,0.117,0.194,241481,0.039
1045,0.145,317.3,6.4,0.212,440.6,0.494,0.344,0.212,0.144,547.1,0.126,34.0,0.83,10430.0,70.0,63.98,18.0,0.147,0.282,0.339,0.767,5.052,41805.0,12.291,0.618,0.071,395.76,12.52,0.0,0.114,49884,0.013
35055,0.075,126.7,7.0,0.171,331.2,0.784,0.18,0.164,0.145,305.1,0.219,54.0,0.74,6372.0,681.0,49.3,95.0,0.26,0.375,0.453,0.743,5.236,33021.0,11.288,0.594,0.09,510.29,11.09,0.137,0.216,33035,0.023
