8103,0.168
46013,0.252
12087,0.175
45053,0.255
6059,0.158
45015,0.257
48459,0.328
22071,0.274
51087,0.225
48119,0.316
20147,0.312
40021,0.268
16009,0.237
17089,0.205
30085,0.316
29000,0.263
46107,0.293
5131,0.336
23017,0.232
8013,0.097
6069,0.147
48389,0.277
5051,0.265
12047,0.319
51143,0.274
37179,0.194
22047,0.338
36005,0.285
47127,0.338
17171,0.258
13231,0.3
47145,0.373
48343,0.319
42031,0.238
45043,0.279
28051,0.329
30087,0.261
48205,0.262
48257,0.301
13119,0.316
54049,0.314
15001,0.19
45059,0.331
30005,0.311
2150,0.212
54081,0.35
55063,0.188
20175,0.283
37021,0.218
24031,0.17
21067,0.231
48253,0.294
47105,0.303
31179,0.263
42045,0.21
47069,0.373
51059,0.152
13197,0.326
1015,0.332
40073,0.288
18121,0.303
37083,0.346
8009,0.225
47171,0.37
22127,0.343
26133,0.25
8091,0.149
41017,0.15
42093,0.264
40091,0.362
12097,0.265
32009,0.243
40037,0.341
42095,0.253
4011,0.245
13075,0.281
21049,0.266
20015,0.248
38079,0.334
51197,0.271
36105,0.24
26111,0.243
36043,0.242
19143,0.262
56023,0.222
30095,0.252
48049,0.287
21087,0.317
13257,0.294
19197,0.301
37037,0.226
9000,0.217
54027,0.324
8005,0.162
55011,0.234
48155,0.281
48335,0.251
19097,0.242
31165,0.273
48259,0.205
8021,0.203
53031,0.154
2180,0.252
39063,0.231
1033,0.319
40023,0.337
17055,0.293
51035,0.292
1017,0.353
17083,0.318
25019,0.174
51830,0.235
39047,0.321
49000,0.166
19013,0.224
25005,0.264
51139,0.255
29189,0.235
42019,0.229
54037,0.284
18061,0.277
19189,0.303
8057,0.178
40015,0.373
26101,0.209
51029,0.277
51000,0.222
31147,0.342
2050,0.292
45045,0.237
31135,0.235
31063,0.301
8119,0.17
55127,0.212
8061,0.206
37029,0.248
37077,0.259
21007,0.35
46023,0.257
20027,0.252
12071,0.242
42007,0.281
26057,0.318
17179,0.285
48309,0.261
55037,0.238
5023,0.332
13109,0.306
38025,0.351
51007,0.292
5035,0.336
18183,0.199
26001,0.261
55107,0.259
37151,0.293
45065,0.3
51021,0.258
37000,0.249
26099,0.221
20075,0.225
38053,0.286
27003,0.208
20131,0.25
45051,0.23
6095,0.204
54083,0.295
48243,0.232
1091,0.338
36015,0.248
47179,0.299
47113,0.295
51181,0.278
51085,0.237
53001,0.253
21221,0.305
18069,0.302
13185,0.284
6111,0.167
17029,0.226
31123,0.276
18179,0.28
37031,0.297
22027,0.329
42023,0.259
29165,0.259
18137,0.262
17013,0.323
27045,0.221
13267,0.321
47153,0.323
45005,0.344
16059,0.18
51169,0.345
17073,0.257
21079,0.35
28053,0.382
21125,0.323
2016,0.22
13229,0.316
8047,0.187
54059,0.41
47093,0.277
8029,0.196
17023,0.273
55113,0.236
51760,0.222
8043,0.188
48501,0.281
38083,0.304
31169,0.304
16025,0.19
20007,0.322
27081,0.237
31103,0.359
37109,0.278
34013,0.271
20137,0.267
38045,0.292
12019,0.247
18033,0.274
29099,0.281
22085,0.332
46089,0.272
45037,0.267
6091,0.172
21051,0.336
6101,0.217
46113,0.275
51515,0.258
35007,0.221
48269,0.277
31157,0.256
18165,0.301
12003,0.327
12029,0.343
29173,0.277
13187,0.226
40107,0.295
21223,0.312
30029,0.188
30089,0.248
35001,0.165
51678,0.226
22015,0.252
25011,0.181
39095,0.264
37155,0.348
19181,0.279
48455,0.309
16071,0.199
46009,0.265
48453,0.161
26129,0.278
24041,0.215
48091,0.249
28001,0.329
45049,0.326
50025,0.173
31143,0.287
55089,0.181
44003,0.232
20035,0.306
